PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=7246 ms
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=7139 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=7032 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=6929 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=6827 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=6723 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=6622 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=6518 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6408 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=6300 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=6193 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=6090 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=5989 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=5887 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=5783 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=5681 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=5578 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=5471 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5370 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=5267 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=5167 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=5064 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=4961 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=4857 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=4756 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=4653 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=4551 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4448 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=4345 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=4243 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=4140 ms
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=4038 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=3935 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=3832 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=3729 ms
64 bytes from 10.0.2.22: icmp_seq=452 ttl=63 time=3626 ms
64 bytes from 10.0.2.22: icmp_seq=453 ttl=63 time=3523 ms
64 bytes from 10.0.2.22: icmp_seq=454 ttl=63 time=3418 ms
64 bytes from 10.0.2.22: icmp_seq=455 ttl=63 time=3316 ms
64 bytes from 10.0.2.22: icmp_seq=456 ttl=63 time=3205 ms
64 bytes from 10.0.2.22: icmp_seq=457 ttl=63 time=3106 ms
64 bytes from 10.0.2.22: icmp_seq=458 ttl=63 time=3003 ms
64 bytes from 10.0.2.22: icmp_seq=459 ttl=63 time=2900 ms
64 bytes from 10.0.2.22: icmp_seq=460 ttl=63 time=2798 ms
64 bytes from 10.0.2.22: icmp_seq=461 ttl=63 time=2675 ms
64 bytes from 10.0.2.22: icmp_seq=462 ttl=63 time=2569 ms
64 bytes from 10.0.2.22: icmp_seq=463 ttl=63 time=2430 ms
64 bytes from 10.0.2.22: icmp_seq=464 ttl=63 time=2331 ms
64 bytes from 10.0.2.22: icmp_seq=465 ttl=63 time=2224 ms
64 bytes from 10.0.2.22: icmp_seq=466 ttl=63 time=2119 ms
64 bytes from 10.0.2.22: icmp_seq=467 ttl=63 time=2018 ms
64 bytes from 10.0.2.22: icmp_seq=468 ttl=63 time=1914 ms
64 bytes from 10.0.2.22: icmp_seq=469 ttl=63 time=1808 ms
64 bytes from 10.0.2.22: icmp_seq=470 ttl=63 time=1708 ms
64 bytes from 10.0.2.22: icmp_seq=471 ttl=63 time=1608 ms
64 bytes from 10.0.2.22: icmp_seq=472 ttl=63 time=1496 ms
64 bytes from 10.0.2.22: icmp_seq=473 ttl=63 time=1394 ms
64 bytes from 10.0.2.22: icmp_seq=474 ttl=63 time=1286 ms
64 bytes from 10.0.2.22: icmp_seq=475 ttl=63 time=1178 ms
64 bytes from 10.0.2.22: icmp_seq=476 ttl=63 time=1073 ms
64 bytes from 10.0.2.22: icmp_seq=477 ttl=63 time=972 ms
64 bytes from 10.0.2.22: icmp_seq=478 ttl=63 time=864 ms
64 bytes from 10.0.2.22: icmp_seq=479 ttl=63 time=757 ms
64 bytes from 10.0.2.22: icmp_seq=480 ttl=63 time=652 ms
64 bytes from 10.0.2.22: icmp_seq=481 ttl=63 time=551 ms
64 bytes from 10.0.2.22: icmp_seq=482 ttl=63 time=447 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=346 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=238 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=237 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=163 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=164 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=170 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=161 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=500 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=501 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=502 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=503 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=504 ttl=63 time=161 ms
64 bytes from 10.0.2.22: icmp_seq=505 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=506 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=507 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=508 ttl=63 time=164 ms
64 bytes from 10.0.2.22: icmp_seq=509 ttl=63 time=149 ms
64 bytes from 10.0.2.22: icmp_seq=510 ttl=63 time=148 ms
64 bytes from 10.0.2.22: icmp_seq=511 ttl=63 time=198 ms
64 bytes from 10.0.2.22: icmp_seq=512 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=513 ttl=63 time=153 ms
64 bytes from 10.0.2.22: icmp_seq=514 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=515 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=516 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=517 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=518 ttl=63 time=163 ms
64 bytes from 10.0.2.22: icmp_seq=519 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=520 ttl=63 time=228 ms
64 bytes from 10.0.2.22: icmp_seq=521 ttl=63 time=227 ms
64 bytes from 10.0.2.22: icmp_seq=522 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=523 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=524 ttl=63 time=333 ms
64 bytes from 10.0.2.22: icmp_seq=525 ttl=63 time=334 ms
64 bytes from 10.0.2.22: icmp_seq=526 ttl=63 time=250 ms
64 bytes from 10.0.2.22: icmp_seq=527 ttl=63 time=202 ms
64 bytes from 10.0.2.22: icmp_seq=528 ttl=63 time=153 ms
64 bytes from 10.0.2.22: icmp_seq=529 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=530 ttl=63 time=234 ms
64 bytes from 10.0.2.22: icmp_seq=531 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=532 ttl=63 time=214 ms
64 bytes from 10.0.2.22: icmp_seq=533 ttl=63 time=356 ms
64 bytes from 10.0.2.22: icmp_seq=534 ttl=63 time=309 ms
64 bytes from 10.0.2.22: icmp_seq=535 ttl=63 time=236 ms
64 bytes from 10.0.2.22: icmp_seq=536 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=537 ttl=63 time=147 ms
64 bytes from 10.0.2.22: icmp_seq=538 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=539 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=540 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=541 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=542 ttl=63 time=153 ms
64 bytes from 10.0.2.22: icmp_seq=543 ttl=63 time=150 ms
64 bytes from 10.0.2.22: icmp_seq=544 ttl=63 time=149 ms
64 bytes from 10.0.2.22: icmp_seq=545 ttl=63 time=148 ms
64 bytes from 10.0.2.22: icmp_seq=546 ttl=63 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=547 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=548 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=549 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=550 ttl=63 time=163 ms
64 bytes from 10.0.2.22: icmp_seq=551 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=552 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=553 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=554 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=555 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=556 ttl=63 time=152 ms
64 bytes from 10.0.2.22: icmp_seq=557 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=558 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=559 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=560 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=561 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=562 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=563 ttl=63 time=152 ms
64 bytes from 10.0.2.22: icmp_seq=564 ttl=63 time=153 ms
64 bytes from 10.0.2.22: icmp_seq=565 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=566 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=567 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=568 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=569 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=570 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=571 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=572 ttl=63 time=161 ms
64 bytes from 10.0.2.22: icmp_seq=573 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=574 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=575 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=576 ttl=63 time=160 ms
64 bytes from 10.0.2.22: icmp_seq=577 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=578 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=579 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=580 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=581 ttl=63 time=199 ms
